state,tr0,tr1,prob
0,1,2,32768
1,3,993,32768
2,1983,2973,32768
3,4,995,32768
4,6,997,21845
5,7,998,43690
6,9,1000,16384
7,10,1001,32768
8,11,1002,49152
9,13,1004,13107
10,14,1005,26214
11,15,1006,39321
12,16,1007,52428
13,18,1009,10922
14,19,1010,21845
15,20,1011,32768
16,21,1012,43690
17,22,1013,54613
18,24,1015,9362
19,25,1016,18724
20,26,1017,28086
21,27,1018,37449
22,28,1019,46811
23,29,1020,56173
24,31,1022,8192
25,32,1023,16384
26,33,1024,24576
27,34,1025,32768
28,35,1026,40960
29,36,1027,49152
30,37,1028,57344
31,39,1030,7281
32,40,1031,14563
33,41,1032,21845
34,42,1033,29127
35,43,1034,36408
36,44,1035,43690
37,45,1036,50972
38,46,1037,58254
39,48,1039,6553
40,49,1040,13107
41,50,1041,19660
42,51,1042,26214
43,52,1043,32768
44,53,1044,39321
45,54,1045,45875
46,55,1046,52428
47,56,1047,58982
48,58,1049,5957
49,59,1050,11915
50,60,1051,17873
51,61,1052,23831
52,62,1053,29789
53,63,1054,35746
54,64,1055,41704
55,65,1056,47662
56,66,1057,53620
57,67,1058,59578
58,69,1060,5461
59,70,1061,10922
60,71,1062,16384
61,72,1063,21845
62,73,1064,27306
63,74,1065,32768
64,75,1066,38229
65,76,1067,43690
66,77,1068,49152
67,78,1069,54613
68,79,1070,60074
69,81,1072,5041
70,82,1073,10082
71,83,1074,15123
72,84,1075,20164
73,85,1076,25206
74,86,1077,30247
75,87,1078,35288
76,88,1079,40329
77,89,1080,45371
78,90,1081,50412
79,91,1082,55453
80,92,1083,60494
81,94,1085,4681
82,95,1086,9362
83,96,1087,14043
84,97,1088,18724
85,98,1089,23405
86,99,1090,28086
87,100,1091,32768
88,101,1092,37449
89,102,1093,42130
90,103,1094,46811
91,104,1095,51492
92,105,1096,56173
93,106,1097,60854
94,108,1099,4369
95,109,1100,8738
96,110,1101,13107
97,111,1102,17476
98,112,1103,21845
99,113,1104,26214
100,114,1105,30583
101,115,1106,34952
102,116,1107,39321
103,117,1108,43690
104,118,1109,48059
105,119,1110,52428
106,120,1111,56797
107,121,1112,61166
108,123,1114,4096
109,124,1115,8192
110,125,1116,12288
111,126,1117,16384
112,127,1118,20480
113,128,1119,24576
114,129,1120,28672
115,130,1121,32768
116,131,1122,36864
117,132,1123,40960
118,133,1124,45056
119,134,1125,49152
120,135,1126,53248
121,136,1127,57344
122,137,1128,61440
123,139,1130,3855
124,140,1131,7710
125,141,1132,11565
126,142,1133,15420
127,143,1134,19275
128,144,1135,23130
129,145,1136,26985
130,146,1137,30840
131,147,1138,34695
132,148,1139,38550
133,149,1140,42405
134,150,1141,46260
135,151,1142,50115
136,152,1143,53970
137,153,1144,57825
138,154,1145,61680
139,156,1147,3640
140,157,1148,7281
141,158,1149,10922
142,159,1150,14563
143,160,1151,18204
144,161,1152,21845
145,162,1153,25486
146,163,1154,29127
147,164,1155,32768
148,165,1156,36408
149,166,1157,40049
150,167,1158,43690
151,168,1159,47331
152,169,1160,50972
153,170,1161,54613
154,171,1162,58254
155,172,1163,61895
156,174,1165,3449
157,175,1166,6898
158,176,1167,10347
159,177,1168,13797
160,178,1169,17246
161,179,1170,20695
162,180,1171,24144
163,181,1172,27594
164,182,1173,31043
165,183,1174,34492
166,184,1175,37941
167,185,1176,41391
168,186,1177,44840
169,187,1178,48289
170,188,1179,51738
171,189,1180,55188
172,190,1181,58637
173,191,1182,62086
174,193,1184,3276
175,194,1185,6553
176,195,1186,9830
177,196,1187,13107
178,197,1188,16384
179,198,1189,19660
180,199,1190,22937
181,200,1191,26214
182,201,1192,29491
183,202,1193,32768
184,203,1194,36044
185,204,1195,39321
186,205,1196,42598
187,206,1197,45875
188,207,1198,49152
189,208,1199,52428
190,209,1200,55705
191,210,1201,58982
192,211,1202,62259
193,213,1204,3120
194,214,1205,6241
195,215,1206,9362
196,216,1207,12483
197,217,1208,15603
198,218,1209,18724
199,219,1210,21845
200,220,1211,24966
201,221,1212,28086
202,222,1213,31207
203,223,1214,34328
204,224,1215,37449
205,225,1216,40569
206,226,1217,43690
207,227,1218,46811
208,228,1219,49932
209,229,1220,53052
210,230,1221,56173
211,231,1222,59294
212,232,1223,62415
213,234,1225,2978
214,235,1226,5957
215,236,1227,8936
216,237,1228,11915
217,238,1229,14894
218,239,1230,17873
219,240,1231,20852
220,241,1232,23831
221,242,1233,26810
222,243,1234,29789
223,244,1235,32768
224,245,1236,35746
225,246,1237,38725
226,247,1238,41704
227,248,1239,44683
228,249,1240,47662
229,250,1241,50641
230,251,1242,53620
231,252,1243,56599
232,253,1244,59578
233,254,1245,62557
234,256,1247,2849
235,257,1248,5698
236,258,1249,8548
237,259,1250,11397
238,260,1251,14246
239,261,1252,17096
240,262,1253,19945
241,263,1254,22795
242,264,1255,25644
243,265,1256,28493
244,266,1257,31343
245,267,1258,34192
246,268,1259,37042
247,269,1260,39891
248,270,1261,42740
249,271,1262,45590
250,272,1263,48439
251,273,1264,51289
252,274,1265,54138
253,275,1266,56987
254,276,1267,59837
255,277,1268,62686
256,279,1270,2730
257,280,1271,5461
258,281,1272,8192
259,282,1273,10922
260,283,1274,13653
261,284,1275,16384
262,285,1276,19114
263,286,1277,21845
264,287,1278,24576
265,288,1279,27306
266,289,1280,30037
267,290,1281,32768
268,291,1282,35498
269,292,1283,38229
270,293,1284,40960
271,294,1285,43690
272,295,1286,46421
273,296,1287,49152
274,297,1288,51882
275,298,1289,54613
276,299,1290,57344
277,300,1291,60074
278,301,1292,62805
279,303,1294,2621
280,304,1295,5242
281,305,1296,7864
282,306,1297,10485
283,307,1298,13107
284,308,1299,15728
285,309,1300,18350
286,310,1301,20971
287,311,1302,23592
288,312,1303,26214
289,313,1304,28835
290,314,1305,31457
291,315,1306,34078
292,316,1307,36700
293,317,1308,39321
294,318,1309,41943
295,319,1310,44564
296,320,1311,47185
297,321,1312,49807
298,322,1313,52428
299,323,1314,55050
300,324,1315,57671
301,325,1316,60293
302,326,1317,62914
303,328,1319,2520
304,329,1320,5041
305,330,1321,7561
306,331,1322,10082
307,332,1323,12603
308,333,1324,15123
309,334,1325,17644
310,335,1326,20164
311,336,1327,22685
312,337,1328,25206
313,338,1329,27726
314,339,1330,30247
315,340,1331,32768
316,341,1332,35288
317,342,1333,37809
318,343,1334,40329
319,344,1335,42850
320,345,1336,45371
321,346,1337,47891
322,347,1338,50412
323,348,1339,52932
324,349,1340,55453
325,350,1341,57974
326,351,1342,60494
327,352,1343,63015
328,354,1345,2427
329,355,1346,4854
330,356,1347,7281
331,357,1348,9709
332,358,1349,12136
333,359,1350,14563
334,360,1351,16990
335,361,1352,19418
336,362,1353,21845
337,363,1354,24272
338,364,1355,26699
339,365,1356,29127
340,366,1357,31554
341,367,1358,33981
342,368,1359,36408
343,369,1360,38836
344,370,1361,41263
345,371,1362,43690
346,372,1363,46117
347,373,1364,48545
348,374,1365,50972
349,375,1366,53399
350,376,1367,55826
351,377,1368,58254
352,378,1369,60681
353,379,1370,63108
354,381,1372,2340
355,382,1373,4681
356,383,1374,7021
357,384,1375,9362
358,385,1376,11702
359,386,1377,14043
360,387,1378,16384
361,388,1379,18724
362,389,1380,21065
363,390,1381,23405
364,391,1382,25746
365,392,1383,28086
366,393,1384,30427
367,394,1385,32768
368,395,1386,35108
369,396,1387,37449
370,397,1388,39789
371,398,1389,42130
372,399,1390,44470
373,400,1391,46811
374,401,1392,49152
375,402,1393,51492
376,403,1394,53833
377,404,1395,56173
378,405,1396,58514
379,406,1397,60854
380,407,1398,63195
381,409,1400,2259
382,410,1401,4519
383,411,1402,6779
384,412,1403,9039
385,413,1404,11299
386,414,1405,13559
387,415,1406,15819
388,416,1407,18078
389,417,1408,20338
390,418,1409,22598
391,419,1410,24858
392,420,1411,27118
393,421,1412,29378
394,422,1413,31638
395,423,1414,33897
396,424,1415,36157
397,425,1416,38417
398,426,1417,40677
399,427,1418,42937
400,428,1419,45197
401,429,1420,47457
402,430,1421,49716
403,431,1422,51976
404,432,1423,54236
405,433,1424,56496
406,434,1425,58756
407,435,1426,61016
408,436,1427,63276
409,438,1429,2184
410,439,1430,4369
411,440,1431,6553
412,441,1432,8738
413,442,1433,10922
414,443,1434,13107
415,444,1435,15291
416,445,1436,17476
417,446,1437,19660
418,447,1438,21845
419,448,1439,24029
420,449,1440,26214
421,450,1441,28398
422,451,1442,30583
423,452,1443,32768
424,453,1444,34952
425,454,1445,37137
